CASEID,SEX,RACE,SCHLCOLL,ACTIVITY,DURATION
20160101160564,2,100,5,10101,360
20160101160564,2,100,5,10201,90
20160101160564,2,100,5,110101,15
20160101160564,2,100,5,60301,435
20160101160564,2,100,5,181101,10
20160101160564,2,100,5,110101,60
20160101160564,2,100,5,181206,10
20160101160564,2,100,5,120303,60
20160101160564,2,100,5,60301,220
20160101160564,2,100,5,10201,10
20160101160564,2,100,5,10101,170
20160101161412,2,100,5,10101,480
20160101161412,2,100,5,120303,120
20160101161412,2,100,5,110101,15
20160101161412,2,100,5,120303,120
20160101161412,2,100,5,50101,60
20160101161412,2,100,5,120303,90
20160101161412,2,100,5,20201,15
20160101161412,2,100,5,120303,120
20160101161412,2,100,5,120303,90
20160101161412,2,100,5,120101,120
20160101161412,2,100,5,160102,60
20160101161412,2,100,5,10101,150
20160101161943,2,100,5,10101,240
20160101161943,2,100,5,20201,30
20160101161943,2,100,5,110101,30
20160101161943,2,100,5,20102,120
20160101161943,2,100,5,10201,60
20160101161943,2,100,5,30109,60
20160101161943,2,100,5,10201,60
20160101161943,2,100,5,180501,15
20160101161943,2,100,5,50101,30
20160101161943,2,100,5,110101,30
20160101161943,2,100,5,50101,465
20160101161943,2,100,5,180501,15
20160101161943,2,100,5,120303,30
20160101161943,2,100,5,10101,255
20160101162449,2,100,5,10101,390
20160101162449,2,100,5,110101,10
20160101162449,2,100,5,20101,60
20160101162449,2,100,5,10201,30
20160101162449,2,100,5,181101,3
20160101162449,2,100,5,110101,30
20160101162449,2,100,5,40501,20
20160101162449,2,100,5,20603,30
20160101162449,2,100,5,40506,15
20160101162449,2,100,5,180406,3
20160101162449,2,100,5,20902,10
20160101162449,2,100,5,20701,60
20160101162449,2,100,5,20701,25
20160101162449,2,100,5,70104,40
20160101162449,2,100,5,10201,30
20160101162449,2,100,5,120101,9
20160101162449,2,100,5,181401,5
20160101162449,2,100,5,140101,60
20160101162449,2,100,5,181401,5
20160101162449,2,100,5,120101,20
20160101162449,2,100,5,180202,3
20160101162449,2,100,5,20201,40
20160101162449,2,100,5,20203,10
20160101162449,2,100,5,120307,60
20160101162449,2,100,5,181206,3
20160101162449,2,100,5,20201,5
20160101162449,2,100,5,10201,20
20160101162449,2,100,5,120101,45
20160101162449,2,100,5,120308,30
20160101162449,2,100,5,10201,15
20160101162449,2,100,5,10101,354
20160111150613,2,100,5,10101,300
20160111150613,2,100,5,10201,30
20160111150613,2,100,5,20201,45
20160111150613,2,100,5,120303,105
20160111150613,2,100,5,180302,15
20160111150613,2,100,5,30112,15
20160111150613,2,100,5,180501,15
20160111150613,2,100,5,50104,15
20160111150613,2,100,5,50101,120
20160111150613,2,100,5,110101,15
20160111150613,2,100,5,50101,135
20160111150613,2,100,5,110101,60
20160111150613,2,100,5,50101,120
20160111150613,2,100,5,120301,15
20160111150613,2,100,5,50101,75
20160111150613,2,100,5,180501,5
20160111150613,2,100,5,10201,60
20160111150613,2,100,5,10101,295
20160111150769,2,100,5,20602,15
20160111150769,2,100,5,20203,30
20160111150769,2,100,5,30101,5
20160111150769,2,100,5,20201,45
20160111150769,2,100,5,180302,8
20160111150769,2,100,5,30111,10
20160111150769,2,100,5,20603,60
20160111150769,2,100,5,20102,221
20160111150769,2,100,5,180805,45
20160111150769,2,100,5,80501,90
20160111150769,2,100,5,180209,5
20160111150769,2,100,5,20902,15
20160111150769,2,100,5,180704,15
20160111150769,2,100,5,70104,96
20160111150769,2,100,5,180704,20
20160111150769,2,100,5,50101,30
20160111150769,2,100,5,150101,20
20160111150769,2,100,5,20102,10
20160111150769,2,100,5,180302,53
20160111150769,2,100,5,30111,5
20160111150769,2,100,5,180302,8
20160111150769,2,100,5,180302,5
20160111150769,2,100,5,30112,2
20160111150769,2,100,5,180402,7
20160111150769,2,100,5,40112,5
20160111150769,2,100,5,180302,10
20160111150769,2,100,5,30110,105
20160111150769,2,100,5,180302,5
20160111150769,2,100,5,20203,30
20160111150769,2,100,5,20201,30
20160111150769,2,100,5,20203,30
20160111150769,2,100,5,120101,20
20160111150769,2,100,5,30106,15
20160111150769,2,100,5,30102,30
20160111150769,2,100,5,30301,5
20160111150769,2,100,5,50101,60
20160111150769,2,100,5,50101,120
20160111150769,2,100,5,10201,30
20160111150769,2,100,5,120312,40
20160111150769,2,100,5,10101,85
20160111151158,2,100,5,10101,240
20160111151158,2,100,5,10201,60
20160111151158,2,100,5,20201,5
20160111151158,2,100,5,110101,10
20160111151158,2,100,5,20101,25
20160111151158,2,100,5,20102,90
20160111151158,2,100,5,120303,170
20160111151158,2,100,5,110101,20
20160111151158,2,100,5,120303,100
20160111151158,2,100,5,10101,120
20160111151158,2,100,5,110101,15
20160111151158,2,100,5,120303,165
20160111151158,2,100,5,10101,420
20160112151059,2,100,5,10101,180
20160112151059,2,100,5,110101,20
20160112151059,2,100,5,10201,30
20160112151059,2,100,5,20101,15
20160112151059,2,100,5,180406,20
20160112151059,2,100,5,40507,1
20160112151059,2,100,5,180501,5
20160112151059,2,100,5,50101,539
20160112151059,2,100,5,180501,20
20160112151059,2,100,5,20201,30
20160112151059,2,100,5,20203,15
20160112151059,2,100,5,120303,35
20160112151059,2,100,5,10201,40
20160112151059,2,100,5,69999,30
20160112151059,2,100,5,120303,100
20160112151059,2,100,5,10101,360
20160112151175,2,100,5,10101,300
20160112151175,2,100,5,110101,20
20160112151175,2,100,5,120101,60
20160112151175,2,100,5,10201,90
20160112151175,2,100,5,110101,20
20160112151175,2,100,5,30201,60
20160112151175,2,100,5,120303,140
20160112151175,2,100,5,20102,120
20160112151175,2,100,5,110101,60
20160112151175,2,100,5,20203,60
20160112151175,2,100,5,120303,60
20160112151175,2,100,5,120307,60
20160112151175,2,100,5,120101,60
20160112151175,2,100,5,10201,30
20160112151175,2,100,5,20102,90
20160112151175,2,100,5,120303,90
20160112151175,2,100,5,10101,120
20160112151213,2,100,5,10101,330
20160112151213,2,100,5,10201,60
20160112151213,2,100,5,181501,15
20160112151213,2,100,5,150102,45
20160112151213,2,100,5,140101,75
20160112151213,2,100,5,180703,10
20160112151213,2,100,5,70103,5
20160112151213,2,100,5,110101,90
20160112151213,2,100,5,181501,10
20160112151213,2,100,5,150701,20
20160112151213,2,100,5,150501,90
20160112151213,2,100,5,181101,15
20160112151213,2,100,5,110101,60
20160112151213,2,100,5,120101,65
20160112151213,2,100,5,181401,15
20160112151213,2,100,5,140101,70
20160112151213,2,100,5,180703,10
20160112151213,2,100,5,70103,2
20160112151213,2,100,5,110101,93
20160112151213,2,100,5,181101,15
20160112151213,2,100,5,10201,10
20160112151213,2,100,5,10102,35
20160112151213,2,100,5,10101,300
20160112151253,2,100,5,10101,270
20160112151253,2,100,5,120101,330
20160112151253,2,100,5,120303,120
20160112151253,2,100,5,20201,90
20160112151253,2,100,5,110101,60
20160112151253,2,100,5,181201,5
20160112151253,2,100,5,120101,85
20160112151253,2,100,5,110101,30
20160112151253,2,100,5,120101,150
20160112151253,2,100,5,181201,5
20160112151253,2,100,5,10101,295
20160112151329,2,100,5,10101,300
20160112151329,2,100,5,110101,20
20160112151329,2,100,5,10201,40
20160112151329,2,100,5,20201,5
20160112151329,2,100,5,180704,30
20160112151329,2,100,5,70104,1
20160112151329,2,100,5,180601,10
20160112151329,2,100,5,60101,50
20160112151329,2,100,5,180703,10
20160112151329,2,100,5,180703,15
20160112151329,2,100,5,70103,2
20160112151329,2,100,5,120101,15
20160112151329,2,100,5,181201,10
20160112151329,2,100,5,20902,15
20160112151329,2,100,5,180802,5
20160112151329,2,100,5,80201,10
20160112151329,2,100,5,180802,5
20160112151329,2,100,5,20902,10
20160112151329,2,100,5,181101,15
20160112151329,2,100,5,181101,15
20160112151329,2,100,5,110101,30
20160112151329,2,100,5,180603,5
20160112151329,2,100,5,60301,222
20160112151329,2,100,5,180406,15
20160112151329,2,100,5,180406,10
20160112151329,2,100,5,40507,10
20160112151329,2,100,5,180503,30
20160112151329,2,100,5,50303,20
20160112151329,2,100,5,60301,90
20160112151329,2,100,5,10201,25
20160112151329,2,100,5,120101,280
20160112151329,2,100,5,10101,120
20160112151351,2,100,5,10101,240
20160112151351,2,100,5,110101,30
20160112151351,2,100,5,120303,60
20160112151351,2,100,5,20101,150
20160112151351,2,100,5,110101,30
20160112151351,2,100,5,20101,90
20160112151351,2,100,5,181201,3
20160112151351,2,100,5,120101,120
20160112151351,2,100,5,181201,3
20160112151351,2,100,5,120303,60
20160112151351,2,100,5,20201,45
20160112151351,2,100,5,110101,30
20160112151351,2,100,5,20101,60
20160112151351,2,100,5,120303,129
20160112151351,2,100,5,10101,390
20160112151439,2,100,5,10101,210
20160112151439,2,100,5,20201,5
20160112151439,2,100,5,60301,60
