CASEID,SEX,RACE,SCHLCOLL,ACTIVITY,DURATION
20160101161070,1,202,5,10101,105
20160101161070,1,202,5,180501,10
20160101161070,1,202,5,50101,185
20160101161070,1,202,5,180501,15
20160101161070,1,202,5,120307,165
20160101161070,1,202,5,10101,120
20160101161070,1,202,5,120307,150
20160101161070,1,202,5,110101,30
20160101161070,1,202,5,181301,15
20160101161070,1,202,5,130133,80
20160101161070,1,202,5,181301,10
20160101161070,1,202,5,10101,555
20160101161511,1,100,5,10101,420
20160101161511,1,100,5,60301,60
20160101161511,1,100,5,120303,120
20160101161511,1,100,5,130131,90
20160101161511,1,100,5,20201,10
20160101161511,1,100,5,110101,10
20160101161511,1,100,5,120308,60
20160101161511,1,100,5,120312,25
20160101161511,1,100,5,500106,5
20160101161511,1,100,5,60101,100
20160101161511,1,100,5,120303,15
20160101161511,1,100,5,120305,45
20160101161511,1,100,5,120303,270
20160101161511,1,100,5,160101,20
20160101161511,1,100,5,60301,30
20160101161511,1,100,5,120303,10
20160101161511,1,100,5,10201,5
20160101161511,1,100,5,10101,145
20160101162274,1,100,5,10101,60
20160101162274,1,100,5,10201,30
20160101162274,1,100,5,110101,30
20160101162274,1,100,5,60301,150
20160101162274,1,100,5,180603,15
20160101162274,1,100,5,60301,15
20160101162274,1,100,5,60101,75
20160101162274,1,100,5,180603,2
20160101162274,1,100,5,60301,193
20160101162274,1,100,5,180601,2
20160101162274,1,100,5,60101,73
20160101162274,1,100,5,180601,15
20160101162274,1,100,5,180701,20
20160101162274,1,100,5,70101,30
20160101162274,1,100,5,180701,20
20160101162274,1,100,5,20104,10
20160101162274,1,100,5,120312,280
20160101162274,1,100,5,20201,30
20160101162274,1,100,5,110101,30
20160101162274,1,100,5,120303,60
20160101162274,1,100,5,120312,60
20160101162274,1,100,5,10101,240
20160101162489,1,100,5,10101,270
20160101162489,1,100,5,10301,1
20160101162489,1,100,5,120307,389
20160101162489,1,100,5,110101,10
20160101162489,1,100,5,120303,170
20160101162489,1,100,5,120307,120
20160101162489,1,100,5,89999,270
20160101162489,1,100,5,10101,210
20160111150119,1,100,5,10101,210
20160111150119,1,100,5,110101,30
20160111150119,1,100,5,120101,360
20160111150119,1,100,5,110101,30
20160111150119,1,100,5,110101,180
20160111150119,1,100,5,181302,30
20160111150119,1,100,5,130224,90
20160111150119,1,100,5,181101,20
