current,next,count
0,0,0
0,1,122
0,2,59
0,3,31
0,4,3
0,5,59
0,6,27
0,7,18
0,8,6
0,9,8
0,10,1
0,11,7
1,0,92
1,1,19
1,2,50
1,3,38
1,4,14
1,5,69
1,6,75
1,7,23
1,8,11
1,9,34
1,10,9
1,11,17
2,0,11
2,1,41
2,2,113
2,3,46
2,4,27
2,5,129
2,6,92
2,7,62
2,8,8
2,9,12
2,10,4
2,11,10
3,0,36
3,1,37
3,2,55
3,3,78
3,4,18
3,5,64
3,6,61
3,7,34
3,8,13
3,9,6
3,10,3
3,11,10
4,0,7
4,1,14
4,2,36
4,3,8
4,4,28
4,5,41
4,6,32
4,7,15
4,8,0
4,9,11
4,10,0
4,11,7
5,0,18
5,1,39
5,2,60
5,3,95
5,4,19
5,5,10
5,6,175
5,7,35
5,8,15
5,9,54
5,10,1
5,11,14
6,0,150
6,1,90
6,2,77
6,3,53
6,4,38
6,5,56
6,6,115
6,7,43
6,8,9
6,9,32
6,10,5
6,11,30
7,0,8
7,1,28
7,2,66
7,3,29
7,4,25
7,5,18
7,6,53
7,7,130
7,8,4
7,9,16
7,10,3
7,11,4
8,0,2
8,1,22
8,2,6
8,3,7
8,4,4
8,5,14
8,6,14
8,7,2
8,8,15
8,9,4
8,10,0
8,11,1
9,0,6
9,1,26
9,2,15
9,3,11
9,4,14
9,5,57
9,6,30
9,7,14
9,8,10
9,9,32
9,10,0
9,11,2
10,0,1
10,1,2
10,2,3
10,3,4
10,4,2
10,5,8
10,6,6
10,7,1
10,8,0
10,9,1
10,10,3
10,11,2
11,0,15
11,1,8
11,2,14
11,3,14
11,4,7
11,5,11
11,6,19
11,7,7
11,8,0
11,9,6
11,10,3
11,11,16
