current,next,count
0,0,0
0,1,70
0,2,33
0,3,14
0,4,1
0,5,32
0,6,12
0,7,13
0,8,2
0,9,3
0,10,0
0,11,6
1,0,51
1,1,13
1,2,32
1,3,25
1,4,9
1,5,32
1,6,40
1,7,15
1,8,3
1,9,21
1,10,7
1,11,11
2,0,9
2,1,25
2,2,82
2,3,34
2,4,17
2,5,88
2,6,60
2,7,44
2,8,5
2,9,5
2,10,3
2,11,6
3,0,22
3,1,24
3,2,34
3,3,51
3,4,12
3,5,30
3,6,30
3,7,26
3,8,7
3,9,3
3,10,2
3,11,9
4,0,5
4,1,11
4,2,20
4,3,2
4,4,16
4,5,28
4,6,16
4,7,10
4,8,0
4,9,8
4,10,0
4,11,4
5,0,12
5,1,15
5,2,45
5,3,55
5,4,12
5,5,5
5,6,86
5,7,24
5,8,5
5,9,21
5,10,0
5,11,7
6,0,76
6,1,47
6,2,57
6,3,25
6,4,17
6,5,27
6,6,56
6,7,27
6,8,1
6,9,13
6,10,3
6,11,16
7,0,5
7,1,18
7,2,48
7,3,22
7,4,19
7,5,9
7,6,34
7,7,84
7,8,2
7,9,11
7,10,3
7,11,3
8,0,0
8,1,11
8,2,3
8,3,2
8,4,2
8,5,6
8,6,3
8,7,1
8,8,8
8,9,2
8,10,0
8,11,1
9,0,2
9,1,15
9,2,9
9,3,7
9,4,9
9,5,20
9,6,16
9,7,9
9,8,6
9,9,24
9,10,0
9,11,1
10,0,1
10,1,1
10,2,3
10,3,3
10,4,2
10,5,4
10,6,3
10,7,1
10,8,0
10,9,1
10,10,2
10,11,0
11,0,10
11,1,6
11,2,10
11,3,10
11,4,5
11,5,7
11,6,8
11,7,4
11,8,0
11,9,4
11,10,0
11,11,5
